gene_id,transcript_id
ENSG00000023330,ENST00000310271
ENSG00000247596,ENST00000305533
ENSG00000010322,ENST00000345716
ENSG00000168268,ENST00000307076
ENSG00000213533,ENST00000355083
ENSG00000163932,ENST00000330452
ENSG00000163686,ENST00000295962
ENSG00000044524,ENST00000336596
ENSG00000184500,ENST00000348974
ENSG00000154174,ENST00000284320
ENSG00000114423,ENST00000264122
ENSG00000144848,ENST00000283290
ENSG00000163607,ENST00000295864
ENSG00000065485,ENST00000316218
ENSG00000065534,ENST00000346322
ENSG00000082781,ENST00000296181
ENSG00000175792,ENST00000322623
ENSG00000179348,ENST00000341105
ENSG00000163902,ENST00000296255
ENSG00000196455,ENST00000356763
ENSG00000017260,ENST00000328560
ENSG00000163781,ENST00000260810
ENSG00000114054,ENST00000251654
ENSG00000158092,ENST00000288986
ENSG00000158234,ENST00000338446
ENSG00000184432,ENST00000333188
ENSG00000188313,ENST00000342435
ENSG00000152601,ENST00000282486
ENSG00000163659,ENST00000295924
ENSG00000113810,ENST00000344722
ENSG00000121879,ENST00000263967
ENSG00000181449,ENST00000325404
ENSG00000058063,ENST00000323116
ENSG00000114770,ENST00000265586
ENSG00000161204,ENST00000292808
ENSG00000175166,ENST00000310118
ENSG00000073792,ENST00000346192
ENSG00000163923,ENST00000296277
ENSG00000114315,ENST00000232424
ENSG00000109736,ENST00000329687
ENSG00000163956,ENST00000296325
ENSG00000109501,ENST00000226760
ENSG00000002549,ENST00000226299
ENSG00000109814,ENST00000316423
ENSG00000121892,ENST00000303538
ENSG00000163697,ENST00000295974
ENSG00000109184,ENST00000334635
ENSG00000163069,ENST00000381431
ENSG00000109220,ENST00000263921
ENSG00000157404,ENST00000288135
ENSG00000128050,ENST00000264221
ENSG00000156136,ENST00000286648
ENSG00000081041,ENST00000296031
ENSG00000145293,ENST00000273920
ENSG00000198189,ENST00000358290
ENSG00000170502,ENST00000302174
ENSG00000118785,ENST00000237623
ENSG00000138642,ENST00000264346
ENSG00000145335,ENST00000336904
ENSG00000197894,ENST00000296412
ENSG00000138778,ENST00000265148
ENSG00000138796,ENST00000309522
ENSG00000138798,ENST00000265171
ENSG00000170522,ENST00000302274
ENSG00000145386,ENST00000274026
ENSG00000109452,ENST00000262992
ENSG00000164167,ENST00000296581
ENSG00000109654,ENST00000338700
ENSG00000129187,ENST00000357067
ENSG00000164305,ENST00000308394
ENSG00000151729,ENST00000281456
ENSG00000083857,ENST00000441802
ENSG00000164362,ENST00000296820
ENSG00000112941,ENST00000230859
ENSG00000145555,ENST00000274203
ENSG00000039560,ENST00000265109
ENSG00000083720,ENST00000196371
ENSG00000112964,ENST00000230882
ENSG00000172262,ENST00000306938
ENSG00000112972,ENST00000325110
ENSG00000112992,ENST00000264663
ENSG00000067248,ENST00000251636
ENSG00000134057,ENST00000256442
ENSG00000134058,ENST00000256443
ENSG00000113161,ENST00000287936
ENSG00000145687,ENST00000320672
ENSG00000145715,ENST00000274376
ENSG00000134480,ENST00000256897
ENSG00000081189,ENST00000340208
ENSG00000153140,ENST00000283122
ENSG00000173221,ENST00000237858
ENSG00000153113,ENST00000309190
ENSG00000164209,ENST00000355943
ENSG00000129625,ENST00000261482
ENSG00000168938,ENST00000306442
ENSG00000164904,ENST00000409134
ENSG00000066583,ENST00000173527
ENSG00000072682,ENST00000166534
ENSG00000170606,ENST00000304858
ENSG00000213585,ENST00000265333
ENSG00000113558,ENST00000328392
ENSG00000043143,ENST00000282605
ENSG00000112984,ENST00000394894
ENSG00000120738,ENST00000239938
ENSG00000113552,ENST00000311337
