Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA
0	0.5306483319997235	0.6271025702679125	0.4585526315789474	0.5	0.0	0.0	0.0
2	0.5320343372113587	0.6261712069033715	0.5017543859649123	0.5378812047001179	0.8208469055374593	0.10206561360874848	0.0702057348585079
3	0.5622394884516353	0.6436139717650207	0.5285087719298246	0.558707020134314	0.748829953198128	0.19441069258809235	0.11004941567718218
4	0.5868313718517073	0.6554352465139655	0.519298245614035	0.5528007842439943	0.8030634573304157	0.1486431753746456	0.09835688488452088
5	0.6177128192552742	0.6775982911125255	0.5328947368421053	0.5643680345030168	0.7958115183246073	0.18469015795868773	0.1203804077613877
6	0.638699694480327	0.6959961431824527	0.543201754385965	0.5741423202953351	0.8184818481848185	0.20089104900769542	0.13881699126675084
7	0.6514332965501051	0.706520003626419	0.5405701754385965	0.5732131515439949	0.865234375	0.17942486836776023	0.136637125145864
8	0.6541716035414946	0.7083630922086277	0.5530701754385965	0.5826695791080561	0.8155197657393851	0.22559740785743215	0.15519215276880083
9	0.6580360700326323	0.7113025104411559	0.5383771929824561	0.5717005647649215	0.8839662447257384	0.1697043337383556	0.13364071271292077
14	0.660750649033186	0.7020696250754956	0.543201754385965	0.5726779642894706	0.7813411078717201	0.21709194005670313	0.13644937710762794
16	0.6611550902157581	0.7033790291382838	0.5421052631578948	0.571628799698761	0.7789165446559297	0.21547185095180235	0.13446575808697558
22	0.6620683757405796	0.7035742383493676	0.6052631578947368	0.6154182741169846	0.6895184135977337	0.4929121101660591	0.22503675127248624
24	0.6637069629934381	0.7050486767879985	0.5787280701754386	0.5982362064346824	0.7202572347266881	0.3628999594977724	0.1880396069559105
28	0.664734433421098	0.7067039090795423	0.5883771929824562	0.6048037269022537	0.7090395480225988	0.4066423653300932	0.2018271830405901
32	0.6656913978188456	0.7091498744998477	0.581359649122807	0.6012520824943793	0.7287581699346405	0.3612798703928716	0.19367675043127208
33	0.6695852095394659	0.712548240110384	0.5953947368421053	0.611540345622883	0.7175732217573222	0.41676792223572295	0.2149366944031066
