Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
0	0.7442935181325823	0.7289369532911956	0.6673378977043899	0.6654428520787967	0.6822074215033301	0.5930521091811415	0.3319925139939197	0.5930521091811415
1	0.8001166681599152	0.7992778864568517	0.6721707611759967	0.6645608615654699	0.888015717092338	0.3738626964433416	0.33405578590275153	0.3738626964433416
2	0.811809778311019	0.8117183004730364	0.7011679420056384	0.695054945054945	0.8597842835130971	0.46153846153846156	0.3947746024154012	0.46153846153846156
3	0.8164433935437126	0.8163063455652075	0.7192911800241644	0.7140873719214733	0.8487738419618529	0.5153019023986766	0.4325096232133646	0.5153019023986766
4	0.8218275284918319	0.8200820753424038	0.7293596455900121	0.7267686230819872	0.7737003058103975	0.6277915632754343	0.4557296967229799	0.6277915632754343
5	0.8258427440455091	0.824007558729746	0.7333870318163512	0.7305666683546868	0.7851929092805006	0.6228287841191067	0.4635787437318106	0.6228287841191067
6	0.8290259604509871	0.8273552309656865	0.7442609746274668	0.7422815279958137	0.7764932562620424	0.6666666666666666	0.48631776001761895	0.6666666666666666
7	0.832056281187795	0.8303789643283165	0.7458719291180024	0.7462146148782094	0.7297297297297297	0.7593052109181141	0.4919206269576618	0.7593052109181141
8	0.8328100470957613	0.8310668279862929	0.7462746677406363	0.7462272750291183	0.7371007371007371	0.7444168734491315	0.49232989064398536	0.7444168734491315
9	0.8342039621727677	0.8326560415591039	0.7494965767217077	0.7491348896878851	0.746431570109152	0.7353184449958643	0.49845909639724073	0.7353184449958643
10	0.8352966305819902	0.833814838022194	0.7474828836085381	0.7475101703212301	0.7369706840390879	0.7485525227460711	0.494821964152384	0.7485525227460711
11	0.8378870922295238	0.835012355624412	0.7490938380990737	0.7492488310460661	0.7362903225806452	0.7551695616211745	0.49817180403088746	0.7551695616211745
12	0.8371424156606716	0.8340011356500889	0.7454691904953685	0.7452313431576104	0.7398171238570241	0.7361455748552522	0.49052478749356365	0.7361455748552522
13	0.8382980602051853	0.8352591395981754	0.7458719291180024	0.7453073040630644	0.7465870307167235	0.7237386269644334	0.49099793478306775	0.7237386269644334
14	0.8390862357540841	0.8357902446165355	0.7539267015706806	0.7533253996387637	0.7559931506849316	0.7303556658395368	0.5070894876224347	0.7303556658395368
15	0.8395465458563651	0.8360860915965014	0.7535239629480467	0.7525531304333147	0.7634598411297441	0.7154673283705542	0.5059175599364285	0.7154673283705542
16	0.8391563535129647	0.8363327782467849	0.7571486105517519	0.7570770243581304	0.7487684729064039	0.7543424317617866	0.5140564282369025	0.7543424317617866
17	0.8398718143489502	0.8371124420905028	0.756745871929118	0.7560304518829865	0.7614520311149524	0.728701406120761	0.5126233608219548	0.728701406120761
18	0.8405249482881528	0.8379553917390846	0.756745871929118	0.7559671511284414	0.7628149435273676	0.7262200165425972	0.5125615825988491	0.7262200165425972
19	0.8418747151466045	0.8395045077225207	0.7571486105517519	0.7562541145490455	0.7657894736842106	0.7220843672456576	0.5132554866684417	0.7220843672456576
20	0.8427216467804911	0.8404642018510169	0.7591623036649214	0.7573513276278254	0.7901234567901234	0.6881720430107527	0.5164024658740642	0.6881720430107527
21	0.8443557801055143	0.8411801384005576	0.7571486105517519	0.7551569014702655	0.7924710424710425	0.6790736145574855	0.5121834484686508	0.6790736145574855
22	0.8428563637709332	0.8397588352141163	0.7563431333064841	0.7547728768926926	0.7806691449814126	0.6947890818858561	0.5109797333039919	0.6947890818858561
23	0.8439529276112049	0.8399957089651063	0.7559403946838502	0.7546125149811785	0.7743403093721565	0.7038875103391232	0.5104097050090095	0.7038875103391232
24	0.8450274173421994	0.841071198395524	0.7519130084575111	0.7511098732296889	0.7580504786771105	0.7204301075268817	0.5028563702126221	0.7204301075268817
25	0.8444106407594532	0.8398170991199989	0.7559403946838502	0.7551400212690536	0.762402088772846	0.7245657568238213	0.5109268836831964	0.7245657568238213
26	0.8458590918711443	0.8403927837635279	0.7607732581554572	0.760292702689016	0.7608142493638677	0.7419354838709677	0.5209151485976335	0.7419354838709677
27	0.8457883248737555	0.8408813625407072	0.7551349174385824	0.7551147009672355	0.7457072771872445	0.7543424317617866	0.510078722883637	0.7543424317617866
28	0.8466131823983651	0.8412817113330873	0.7571486105517519	0.7571403251126754	0.7475490196078431	0.7568238213399504	0.5141179299608925	0.7568238213399504
29	0.847879522108519	0.8433880967446709	0.761175996778091	0.7609594706368901	0.7558139534883721	0.7526881720430108	0.5219740101882763	0.7526881720430108
30	0.8476675457356067	0.8418284202896913	0.7631896898912606	0.7640401073580797	0.7379310344827587	0.7965260545905707	0.5270126850962753	0.7965260545905707
31	0.8482489388196585	0.8430592936742909	0.7648006443817962	0.7653567630526156	0.7447141738449491	0.7866004962779156	0.5299531402757645	0.7866004962779156
32	0.8477178617199886	0.842748778585444	0.7607732581554572	0.7620862240677908	0.7279466271312083	0.8122415219189413	0.5226285848929582	0.8122415219189413
33	0.8498376254491107	0.8445684102244023	0.7623842126459928	0.7634028797623268	0.7342922028766087	0.8023159636062862	0.5255637325070309	0.8023159636062862
34	0.8486261463928957	0.8430437707814927	0.7631896898912606	0.7647153154065596	0.7268078889700511	0.8229942100909843	0.527649265658384	0.8229942100909843
35	0.8501589985106468	0.8453278724671659	0.7672170761175997	0.7678170523792645	0.7462919594067136	0.7907361455748553	0.5348215941076335	0.7907361455748553
36	0.8498739828055674	0.844628653398932	0.765606121627064	0.7662471936665485	0.7439688715953308	0.7907361455748553	0.531641836321963	0.7907361455748553
37	0.852202801334315	0.8468160258155946	0.7692307692307693	0.7700536790398542	0.7442396313364056	0.8014888337468983	0.539049568502584	0.8014888337468983
38	0.8529215083628412	0.8488413269307746	0.7740636327023761	0.7747843554295167	0.7507739938080495	0.8023159636062862	0.5486079223520193	0.8023159636062862
39	0.8543660640434834	0.8504099860270438	0.7724526782118405	0.7732355969683159	0.7480739599383667	0.8031430934656741	0.5454468870177627	0.8031430934656741
40	0.8559261841785769	0.8507091128637216	0.7756745871929118	0.7757845073513276	0.7641815235008104	0.7799834574028123	0.5512782119794677	0.7799834574028123
41	0.8578414377776308	0.8532105304794227	0.7809101892871526	0.7813507537009841	0.7628458498023716	0.7981803143093466	0.5620373960985314	0.7981803143093466
42	0.8595372487609283	0.8544139945745565	0.7772855416834474	0.7772699650579835	0.7684124386252046	0.7766749379652605	0.5543878597133685	0.7766749379652605
43	0.8581128194740388	0.8518907969256148	0.779299234796617	0.7794643912155432	0.7667473769168685	0.7857733664185277	0.5585752001147128	0.7857733664185277
44	0.8599183517652145	0.8548743644142824	0.7865485300040274	0.7867186576863996	0.7740112994350282	0.7932175351530191	0.5730745548554703	0.7932175351530191
45	0.8605857689515967	0.8546381329359762	0.7768828030608136	0.7760545905707197	0.7860262008733624	0.7444168734491315	0.5528557664677743	0.7444168734491315
46	0.8632560869356333	0.8565799814756526	0.7865485300040274	0.7861278506439797	0.7869822485207101	0.7700578990901572	0.5725698168337316	0.7700578990901572
47	0.8628100600805315	0.8560463321178499	0.7805074506645188	0.7799876774531151	0.782793867120954	0.760132340777502	0.5603892072689187	0.760132340777502
48	0.8657472150914193	0.857832617352307	0.7821184051550544	0.7813254333991662	0.7909407665505227	0.7510339123242349	0.5633759966872166	0.7510339123242349
49	0.8672605900539258	0.8596134686999122	0.7821184051550544	0.7813043331476511	0.7914485165794066	0.750206782464847	0.5633575464083939	0.750206782464847
50	0.8687648756773181	0.8595602973227949	0.7853403141361257	0.7847183538427778	0.7903780068728522	0.76095947063689	0.5699779081604637	0.76095947063689
51	0.8696004456373121	0.8617822644569829	0.7853403141361257	0.7842330480579329	0.8023255813953488	0.7419354838709677	0.5695597207717253	0.7419354838709677
52	0.8709541079268126	0.8625484815285893	0.7909786548530005	0.7903816613494032	0.7958833619210978	0.7675765095119934	0.5812907340685705	0.7675765095119934
53	0.8728524813246543	0.8639269312274444	0.7901731776077325	0.7900398372748603	0.784297520661157	0.7849462365591398	0.5800674349809469	0.7849462365591398
54	0.873492630493694	0.8651558273701165	0.7925896093435361	0.7914873145287892	0.8103756708407871	0.749379652605459	0.5840961654736183	0.749379652605459
55	0.8772822356657876	0.8680072068262081	0.7942005638340717	0.7935002785233201	0.8019031141868512	0.7667493796526055	0.5876577425337666	0.7667493796526055
56	0.8753429602419323	0.8650973112381932	0.7885622231171969	0.7882167755439644	0.7873949579831933	0.7750206782464847	0.5766647387374456	0.7750206782464847
57	0.8777548812997236	0.867695626628693	0.7978252114377768	0.7968003578602657	0.8142222222222222	0.7576509511993383	0.5946546942640693	0.7576509511993383
58	0.878035352335246	0.8693389639203433	0.7946033024567056	0.794167046471194	0.7959356477561389	0.7775020678246485	0.588681890348951	0.7775020678246485
59	0.8813594534969933	0.8707673997707956	0.801852597664116	0.8012525109299302	0.8077253218884121	0.7783291976840364	0.6030649139999325	0.7783291976840364
