Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA
0	0.6641144006370479	0.6585618521001239	0.5265560165975104	0.5	0.0	0.0	0.0
2	0.6802778313025017	0.672250909817455	0.6004149377593361	0.5804770123396935	0.8068965517241379	0.20508326029798424	0.1672449613015038
3	0.7341226676169894	0.7232434151505212	0.6265560165975104	0.6086589881133675	0.8179419525065963	0.27169149868536374	0.2248926320845135
4	0.7556813904549187	0.7416903668607457	0.674688796680498	0.6628066707690777	0.7767441860465116	0.43908851884312006	0.33291201361404055
5	0.7686323017219766	0.7566298996934069	0.6203319502074689	0.600715573760868	0.8741721854304636	0.23137598597721298	0.2091888515047341
6	0.7739744144913183	0.7615701459179467	0.6672199170124481	0.6521783871999249	0.8369781312127237	0.3689745836985101	0.3131887851370587
7	0.779339663754231	0.7686780153256652	0.6713692946058091	0.6567815134581876	0.8336520076481836	0.38212094653812445	0.3223689395666075
8	0.7854221443178498	0.7755815477572087	0.6692946058091286	0.6536180296133305	0.8628691983122363	0.3584574934268186	0.31656918635308817
10	0.7871269931053249	0.7759207614496845	0.6904564315352697	0.6778232910591611	0.8243021346469622	0.43996494303242767	0.3642109908825425
12	0.7878728860323952	0.778807096683583	0.6921161825726141	0.6793551341260518	0.8308457711442786	0.43908851884312006	0.36744825068606446
13	0.791107160641164	0.7817179345335887	0.6858921161825726	0.6717653282723117	0.8542435424354243	0.4057843996494303	0.3528734890142048
14	0.7923465169908193	0.7842126395067777	0.6842323651452282	0.669791474581972	0.8598484848484849	0.3978965819456617	0.34904028332565473
17	0.7928569011325832	0.7838228392585098	0.6887966804979253	0.6754516278077171	0.8388214904679376	0.42418930762489043	0.3598747160606105
18	0.7951118459537725	0.7855154410139492	0.6941908713692946	0.6811483850382166	0.8423728813559322	0.43558282208588955	0.3713406929456028
20	0.7952427225368095	0.7855314984501485	0.691701244813278	0.6779002975974651	0.8579136690647482	0.4180543382997371	0.36524496114468097
31	0.7956971647090431	0.7844525504178774	0.7016597510373443	0.6896992186771589	0.8307210031347962	0.4645048203330412	0.3880254595309722
36	0.7976903563641589	0.7877876805878516	0.7099585062240664	0.6992590796924435	0.8184438040345822	0.49780893952673094	0.40655073799373087
38	0.7990602439760512	0.7902265169701581	0.7178423236514523	0.7081155222390048	0.8127544097693351	0.5249780893952674	0.42379891890219423
46	0.7998727838174386	0.7965784025916505	0.720746887966805	0.7108293984028222	0.8214285714285714	0.5241016652059597	0.42949932360040155
56	0.8025403869941137	0.7951375229136984	0.7186721991701245	0.7110693963585231	0.7779111644657863	0.567922874671341	0.4279650781358856
63	0.802564214129284	0.7941702568025338	0.7211618257261411	0.715599314607277	0.7535135135135135	0.6108676599474145	0.4353551518194275
72	0.8041395676169204	0.7967028698318062	0.7215767634854772	0.7166563415747595	0.7463312368972747	0.6240140227870289	0.43692412259107316
80	0.8048043101560919	0.7907711373039195	0.7182572614107884	0.7141230681891171	0.7333333333333333	0.6362839614373357	0.43112361073932826
82	0.8067256750848972	0.7943166787403376	0.7219917012448133	0.7199676227218323	0.7170506912442396	0.6818580192813322	0.44102690146744716
83	0.8080019807601064	0.7944927699194619	0.7269709543568464	0.7241653423614003	0.7302192564346998	0.6713409290096407	0.45016126448554517
84	0.808337632577288	0.7966254840705551	0.7261410788381742	0.7224490979875395	0.7383548067393458	0.6529360210341806	0.4475092064431556
86	0.8153631842445312	0.8026551230331134	0.7302904564315352	0.7271848274328369	0.7371980676328502	0.6687116564417178	0.45650854008444675
92	0.8157371666704651	0.8009865283365492	0.729460580912863	0.7250707734978717	0.7502558853633572	0.642418930762489	0.4534284380558955
94	0.815984416362957	0.7972795311792717	0.7323651452282157	0.7290664804696916	0.7417153996101364	0.6669588080631026	0.46047360452710007
95	0.817772832783928	0.8001882079542952	0.729460580912863	0.7262200011188393	0.7376093294460642	0.6652059596844873	0.45469095845875895
96	0.8190605340455229	0.8061226866120106	0.7331950207468879	0.729545095097895	0.7465346534653465	0.6608238387379491	0.46176396014018317
98	0.8235669704799062	0.8094571994945599	0.745643153526971	0.7436196802467525	0.743992606284658	0.7055214723926381	0.4885133361908329
