Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA
0	0.5068041604490078	0.5123181535636233	0.520478890989288	0.5	0.0	0.0	0.0
7	0.5185805919953673	0.5000199812466767	0.45935727788279773	0.4500728619472912	0.3890160183066362	0.2233902759526938	-0.10155552247692756
14	0.5226317480822036	0.5440328382050447	0.520478890989288	0.5	0.0	0.0	0.0
15	0.5502699710143083	0.5616965454725527	0.520478890989288	0.5	0.0	0.0	0.0
16	0.5722065079400431	0.5878870869553909	0.49779458097038437	0.5139352451374991	0.48730606488011285	0.9080157687253614	0.026954858036568163
19	0.5758002882660447	0.5934686967034379	0.5211090107120353	0.5006570302233903	1.0	0.001314060446780552	0.0013678078312793218
20	0.5887293067297077	0.597386404975918	0.5437933207309389	0.5475766243600717	0.5197438633938101	0.6399474375821288	0.09429518245137214
23	0.589698943342677	0.6028240242521476	0.555765595463138	0.5379828694880255	0.7745098039215687	0.1038107752956636	0.0786453842714172
24	0.5959566391870007	0.6131855618064443	0.5545053560176434	0.5364102923068601	0.8	0.09461235216819974	0.07543774210852883
26	0.6286936075572793	0.6241422149898843	0.5626969124133585	0.5457272354140882	0.7518796992481203	0.1314060446780552	0.09452362474020681
30	0.6552675369798245	0.6429703504051494	0.5645872715816005	0.5467676658404738	0.85	0.1116951379763469	0.09684510137068869
31	0.671461025221688	0.6592773085708072	0.5652173913043478	0.547372992716987	0.8585858585858586	0.1116951379763469	0.09810384617285295
33	0.6830035985529426	0.6696132525609005	0.5954631379962193	0.6038314566344144	0.5535553555355536	0.8081471747700394	0.2039718045318386
62	0.6890512992653353	0.6865321600102533	0.6465028355387523	0.6423671542159705	0.6602564102564102	0.5413929040735874	0.28676557178872786
70	0.6929203004839433	0.692980757329141	0.647763074984247	0.6469385255159994	0.6343085106382979	0.6268068331143233	0.294013864539423
81	0.7049616122535342	0.7031006631519758	0.6231884057971014	0.6277772651633985	0.5846313603322949	0.7398160315374507	0.2529130868092784
99	0.7114062355827206	0.7099159481685147	0.6502835538752363	0.652617143875301	0.6178489702517163	0.709592641261498	0.3034613215955183
217	0.7178627904534941	0.7152828346132107	0.647763074984247	0.64998902298174	0.6160919540229886	0.7043363994743759	0.29829694437127885
256	0.719904674937081	0.7198490345930528	0.6666666666666666	0.6670113556458463	0.6457286432160804	0.6754270696452037	0.3334193499210367
272	0.7314432710878066	0.7269287520248764	0.6061751732829238	0.6152594871664339	0.5597539543057997	0.8370565045992115	0.22611157101204127
