Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA
0	0.5059799991388068	0.5804418466460632	0.47273489932885904	0.5	0.0	0.0	0.0
1	0.5088018189531701	0.5882737808279246	0.4786073825503356	0.486986098787341	0.508495145631068	0.3333333333333333	-0.025520769886709704
3	0.5089507630384311	0.5887770822187045	0.4786073825503356	0.486986098787341	0.508495145631068	0.3333333333333333	-0.025520769886709704
4	0.5090259409772002	0.5890352383093693	0.45805369127516776	0.4576762322652419	0.485453034081463	0.46459824980111375	-0.08443832302103504
6	0.5118890557156763	0.590419751653401	0.47273489932885904	0.5	0.0	0.0	0.0
21	0.5122391802004603	0.5944174220842531	0.47273489932885904	0.5	0.0	0.0	0.0
31	0.5122652983575915	0.5925442520033896	0.48406040268456374	0.5105563238058531	0.8857142857142857	0.024661893396976928	0.019991724980599312
185	0.5171483348968933	0.5734038172657939	0.4962248322147651	0.5138786239825389	0.566350710900474	0.19013524264120923	0.026733038097400574
187	0.529644108343763	0.5878109169094313	0.4979026845637584	0.5232698662115048	0.8488372093023255	0.05807478122513922	0.04416668788025335
189	0.5325502827466984	0.5897714743662079	0.5113255033557047	0.5291619812810462	0.6105769230769231	0.2020684168655529	0.05615698727115537
191	0.5395905378857988	0.5980080976229166	0.5075503355704698	0.5294821051799364	0.6751054852320675	0.12728719172633254	0.056328008097433435
193	0.5540610557806187	0.6160506520681719	0.535234899328859	0.5509632305760324	0.6457925636007827	0.26252983293556087	0.09855309668977952
196	0.5672246069746774	0.6308256913182838	0.49328859060402686	0.5191696684899963	0.8888888888888888	0.04455051710421639	0.03634802499449574
197	0.5721856450373031	0.6370551662837312	0.5071308724832215	0.53179144439762	0.847457627118644	0.07955449482895784	0.06042501579822279
199	0.575426767158041	0.6399752054986189	0.4949664429530201	0.5207148751375615	0.8840579710144928	0.04852824184566428	0.039288179138727286
201	0.5791009565598575	0.6440826215592197	0.4886744966442953	0.5149318210214459	0.9130434782608695	0.03341288782816229	0.028291628604330543
213	0.5861655651157422	0.6501715407996501	0.5054530201342282	0.530338004248083	0.8611111111111112	0.07398568019093078	0.0576373745745391
215	0.5917417916632255	0.6573762098615672	0.5125838926174496	0.5368707200634741	0.8518518518518519	0.09148766905330151	0.07013102447755037
221	0.6078439884825986	0.6750698327532008	0.4865771812080537	0.5129429586507219	0.9024390243902439	0.0294351630867144	0.024517961407494515
248	0.609686377404547	0.6768590113339868	0.5046140939597316	0.5294048095527513	0.8392857142857143	0.07478122513922036	0.05587419453490938
252	0.6135596295174706	0.6815243399563187	0.4979026845637584	0.523453399207561	0.8846153846153846	0.05489260143198091	0.04449953591906097
276	0.6161901514782524	0.6843682242108852	0.5167785234899329	0.5408484448049221	0.8620689655172413	0.09944311853619729	0.07773089066631544
317	0.6194771568480043	0.6903676220547786	0.47692953020134227	0.5039318414924339	0.9166666666666666	0.008750994431185362	0.007438747192106798
358	0.6205321186272579	0.6920447093911487	0.4861577181208054	0.5126828359236192	0.9705882352941176	0.026252983293556086	0.0240179021397815
462	0.6212620152346504	0.6930488202273987	0.47441275167785235	0.5015910898965792	1.0	0.0031821797931583136	0.003009177055492418
475	0.6231255810407592	0.6963722278938731	0.5012583892617449	0.5268649952457896	0.9473684210526315	0.057279236276849645	0.050968123829854606
