Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA
0	0.6608125220733521	0.6409403029362232	0.5645872715816005	0.5471295892686124	0.8070175438596491	0.12089356110381078	0.09752147324084826
1	0.6714642069661112	0.6465314764052623	0.5897920604914934	0.5980732946645329	0.5496389891696751	0.8002628120893561	0.19268953456479387
2	0.7742647784074096	0.7676697709125325	0.7038437303087587	0.7021569045444855	0.7034965034965035	0.6609724047306176	0.4052777029171205
3	0.7965194897754643	0.8035770928939133	0.718336483931947	0.7162345327449227	0.7249283667621776	0.6649145860709592	0.4338823551944533
4	0.8003837183774376	0.8074520154601458	0.725897920604915	0.7202411444098341	0.7910714285714285	0.5821287779237845	0.44510801723645954
5	0.8065228942419971	0.8140353669669006	0.7284183994959043	0.7215249782845943	0.822265625	0.5532194480946123	0.44882823107736014
6	0.807260263512073	0.8149737232378258	0.7277882797731569	0.7233497087112981	0.771004942339374	0.6149802890932983	0.45028472644291595
7	0.8108516575297573	0.8176871483085166	0.7277882797731569	0.7207645413674502	0.8244575936883629	0.5492772667542707	0.4474046920112005
8	0.8151565577343435	0.8211265770532599	0.7372400756143668	0.7326364252465056	0.7866666666666666	0.6202365308804205	0.46917840358640805
12	0.8152281469838654	0.8181564260003084	0.7321991178323881	0.7263978198687212	0.8032490974729242	0.5847568988173456	0.45769415389513857
14	0.8159344942458152	0.8178884554335315	0.7328292375551355	0.7275201802140041	0.794066317626527	0.5978975032851511	0.4595068725541226
15	0.8162860770045786	0.8177280448848694	0.724007561436673	0.7168740633739854	0.8210735586481114	0.5427069645203679	0.43961231923199084
16	0.8168301553009453	0.8169641529114999	0.7296786389413988	0.7242350290970527	0.7922535211267606	0.5913272010512484	0.45299033365016184
17	0.8179660380600268	0.8179940153363197	0.7303087586641462	0.7241165091172886	0.8089053803339518	0.5729303547963206	0.45343764031472344
19	0.8187487471881334	0.818711015539849	0.7227473219911783	0.7167491799053749	0.793418647166362	0.5703022339027596	0.438348473612159
20	0.8215995901913182	0.8212676345222683	0.7378701953371141	0.733190048776142	0.7889447236180904	0.6189224704336399	0.47036851630790555
22	0.821973445161044	0.8202147484187794	0.7321991178323881	0.726708039949983	0.7968197879858657	0.5926412614980289	0.4580340490977479
25	0.8221707133152822	0.8231114674967126	0.7328292375551355	0.7292780940078207	0.7628705148205929	0.6425755584756899	0.4614190169140977
33	0.8249213313691364	0.8223852601875077	0.7334593572778828	0.728694243906164	0.7845117845117845	0.6123521681997371	0.4613721870118116
65	0.8288857849204406	0.8281645885814367	0.7429111531190926	0.7377224437069868	0.8058925476603119	0.6110381077529566	0.48001143580370254
73	0.8326641064229876	0.829323013847366	0.741650913673598	0.7380628903602688	0.7746478873239436	0.6504599211563732	0.4791481554414597
74	0.8356088108866567	0.8338630403462785	0.7473219911783239	0.7438210523301505	0.780373831775701	0.6583442838370565	0.4906609937115677
81	0.8377755788388541	0.8351662694607039	0.7498424700693131	0.7453116995924185	0.8023255813953488	0.6346911957950065	0.4946901639909628
89	0.8400775709290376	0.8338492117048137	0.7561436672967864	0.7530711788044913	0.78419452887538	0.6780551905387647	0.5088522219920878
