Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA
0	0.683778647912418	0.7196319519708265	0.47273489932885904	0.5	0.0	0.0	0.0
1	0.7220505718111672	0.7455890920936914	0.475251677852349	0.5023866348448688	1.0	0.00477326968973747	0.004514157310571476
2	0.7675833433923533	0.7870833798047623	0.6405201342281879	0.6533277002821467	0.8067484662576687	0.4184566428003182	0.29837276196389473
3	0.7872591394137816	0.8127591073412848	0.610738255033557	0.6291694637801162	0.9081885856079405	0.2911694510739857	0.24859779818483052
4	0.7957485993255868	0.8210617816288153	0.6510067114093959	0.6663920730687212	0.8927911275415896	0.38424821002386633	0.32219912942982365
5	0.7968409736001905	0.8210556297867811	0.6606543624161074	0.6751278907329249	0.8848797250859106	0.40970564836913287	0.3397338197374349
6	0.7991478421813885	0.8229735411775998	0.6677852348993288	0.681385307054232	0.8743961352657005	0.431980906921241	0.35248450080556715
9	0.799748559795403	0.8204666677668588	0.6518456375838926	0.6668664352739124	0.8833034111310593	0.3914081145584726	0.3233475066324064
10	0.8017494224004846	0.8219354559576169	0.7080536912751678	0.7171396523743876	0.8408262454434994	0.5505171042163882	0.425800204727276
25	0.803254392968145	0.8169510578852203	0.6577181208053692	0.6715175849316587	0.8608837970540099	0.4184566428003182	0.3331601113100041
26	0.8042394710296695	0.8167072142129925	0.673238255033557	0.6853633847437491	0.8483965014577259	0.4630071599045346	0.3612619466567246
30	0.8085690849962482	0.8177742713513296	0.6661073825503355	0.6786930191813157	0.8466165413533835	0.4478918058870326	0.34793511733404625
31	0.8093882774651834	0.8149834336381085	0.662751677852349	0.675006123649003	0.833578792341679	0.4502784407319014	0.3409695580208898
33	0.8107940696253598	0.8195313248992444	0.6661073825503355	0.6785553694342736	0.8435171385991058	0.4502784407319014	0.34776030449657624
36	0.8125125737749701	0.8163816537013203	0.6774328859060402	0.6884693277539302	0.832425068119891	0.48607796340493237	0.36810525604666644
72	0.8138124815143448	0.824150791356777	0.7135067114093959	0.7202918315816521	0.8106060606060606	0.5958631662688942	0.43395323872058644
74	0.8148713257223612	0.8256147905712744	0.722734899328859	0.7278957447874865	0.7991967871485943	0.6332537788385044	0.45039773884559464
76	0.8157731080395219	0.8274911440080489	0.7067953020134228	0.7151204364697005	0.8259345794392523	0.5624502784407319	0.4224678104448313
78	0.818243744524893	0.8310118426637153	0.7172818791946308	0.7242847330900816	0.8185792349726776	0.5958631662688942	0.4416392319245185
80	0.8229859547845287	0.8344426617904446	0.7336409395973155	0.7382837123642649	0.8049019607843138	0.6531424025457438	0.4714408216507314
91	0.8257714209477502	0.8322840855460881	0.7332214765100671	0.7385283053763168	0.8133198789101918	0.6412092283214001	0.47130436723157143
96	0.8270716816351943	0.8304459355036692	0.7407718120805369	0.7455046769148668	0.8141592920353983	0.6587112171837709	0.4856612618424718
98	0.8282939407993145	0.8322266895359578	0.738255033557047	0.7428886258249279	0.8099902056807052	0.6579156722354813	0.48057338829689544
